dt,close,high,low,open,time,volumefrom,volumeto,year
2019-09-07 00:00:00+00:00,80.26,80.94,80.07,80.21,1567814400,50.64,4107.8,2019
2019-09-06 23:00:00+00:00,80.21,80.37,79.89,80.32,1567810800,89.06,7174.52,2019
2019-09-06 22:00:00+00:00,80.32,80.55,79.65,79.72,1567807200,478.77,38408.24,2019
2019-09-06 21:00:00+00:00,79.72,79.72,79.09,79.14,1567803600,128.89,10257.22,2019
2019-09-06 20:00:00+00:00,79.14,79.37,77.76,79.35,1567800000,529.54,41403.66,2019
2019-09-06 19:00:00+00:00,79.35,79.47,79.03,79.34,1567796400,159.63,12666.1,2019
2019-09-06 18:00:00+00:00,79.34,79.61,79.25,79.25,1567792800,118.44,9443.28,2019
2019-09-06 17:00:00+00:00,79.25,82.06,78.82,81.99,1567789200,361.7,29003.99,2019
2019-09-06 16:00:00+00:00,81.99,83.07,81.92,83.07,1567785600,112.24,9236.12,2019
2019-09-06 15:00:00+00:00,83.07,83.18,82.47,82.57,1567782000,101.04,8353.05,2019
2019-09-06 14:00:00+00:00,82.57,82.84,82.5,82.75,1567778400,242.45,20056.38,2019
2019-09-06 13:00:00+00:00,82.75,83.02,82.75,82.95,1567774800,114.41,9486.26,2019
2019-09-06 12:00:00+00:00,82.95,83.41,82.91,83.08,1567771200,255.27,21248.6,2019
2019-09-06 11:00:00+00:00,83.08,83.21,81.8,81.86,1567767600,144.26,11924.58,2019
2019-09-06 10:00:00+00:00,81.86,82.11,81.64,81.64,1567764000,145.32,11926.72,2019
2019-09-06 09:00:00+00:00,81.64,82.0,81.35,81.44,1567760400,63.29,5173.22,2019
2019-09-06 08:00:00+00:00,81.44,82.01,81.43,81.47,1567756800,156.13,12774.15,2019
2019-09-06 07:00:00+00:00,81.47,81.48,81.1,81.38,1567753200,182.43,14837.92,2019
2019-09-06 06:00:00+00:00,81.38,81.84,80.86,80.87,1567749600,436.75,35665.19,2019
2019-09-06 05:00:00+00:00,80.87,81.43,80.79,80.79,1567746000,59.5,4854.14,2019
2019-09-06 04:00:00+00:00,80.79,80.89,80.59,80.85,1567742400,83.43,6746.03,2019
2019-09-06 03:00:00+00:00,80.85,82.02,79.15,79.16,1567738800,7473.93,604870.38,2019
2019-09-06 02:00:00+00:00,79.16,79.79,79.16,79.68,1567735200,197.22,15625.07,2019
2019-09-06 01:00:00+00:00,79.68,79.89,79.35,79.79,1567731600,2118.2,168556.07,2019
2019-09-06 00:00:00+00:00,79.79,80.65,79.74,80.42,1567728000,789.95,63203.8,2019
2019-09-05 23:00:00+00:00,80.42,80.96,80.35,80.82,1567724400,679.44,54482.13,2019
2019-09-05 22:00:00+00:00,80.82,81.27,80.62,80.62,1567720800,102.91,8317.66,2019
2019-09-05 21:00:00+00:00,80.62,81.22,80.46,80.76,1567717200,59.82,4840.12,2019
2019-09-05 20:00:00+00:00,80.76,81.38,80.5,80.61,1567713600,48.68,3949.6,2019
2019-09-05 19:00:00+00:00,80.61,80.91,80.4,80.73,1567710000,200.09,16125.89,2019
2019-09-05 18:00:00+00:00,80.73,81.33,80.6,80.6,1567706400,156.46,12632.22,2019
2019-09-05 17:00:00+00:00,80.6,81.0,80.48,80.67,1567702800,74.17,5999.75,2019
2019-09-05 16:00:00+00:00,80.67,80.92,80.54,80.83,1567699200,181.42,14630.93,2019
2019-09-05 15:00:00+00:00,80.83,81.05,80.63,80.9,1567695600,228.75,18482.82,2019
2019-09-05 14:00:00+00:00,80.9,81.06,80.74,80.96,1567692000,121.47,9821.21,2019
2019-09-05 13:00:00+00:00,80.96,81.32,80.84,81.04,1567688400,68.63,5573.97,2019
2019-09-05 12:00:00+00:00,81.04,81.38,80.95,81.11,1567684800,95.42,7741.65,2019
2019-09-05 11:00:00+00:00,81.11,81.78,81.11,81.44,1567681200,47.71,3899.46,2019
2019-09-05 10:00:00+00:00,81.44,81.71,81.04,81.38,1567677600,161.52,13124.17,2019
2019-09-05 09:00:00+00:00,81.38,81.61,81.24,81.56,1567674000,90.04,7338.46,2019
2019-09-05 08:00:00+00:00,81.56,81.8,81.34,81.48,1567670400,59.85,4890.24,2019
2019-09-05 07:00:00+00:00,81.48,82.08,81.29,81.45,1567666800,39.6,3250.99,2019
2019-09-05 06:00:00+00:00,81.45,82.22,81.41,81.98,1567663200,136.98,11188.56,2019
2019-09-05 05:00:00+00:00,81.98,82.11,81.91,81.94,1567659600,41.44,3403.96,2019
2019-09-05 04:00:00+00:00,81.94,82.55,81.91,81.96,1567656000,46.55,3829.61,2019
2019-09-05 03:00:00+00:00,81.96,82.09,81.56,81.83,1567652400,54.27,4455.73,2019
2019-09-05 02:00:00+00:00,81.83,82.03,81.47,81.47,1567648800,36.74,3021.62,2019
2019-09-05 01:00:00+00:00,81.47,81.76,81.3,81.4,1567645200,50.85,4158.86,2019
2019-09-05 00:00:00+00:00,81.4,81.52,81.24,81.35,1567641600,102.37,8336.7,2019
2019-09-04 23:00:00+00:00,81.35,81.37,80.89,80.89,1567638000,365.14,29587.87,2019
2019-09-04 22:00:00+00:00,80.89,81.55,80.86,81.38,1567634400,735.31,59562.94,2019
2019-09-04 21:00:00+00:00,81.38,81.44,81.07,81.23,1567630800,61.65,5034.7,2019
2019-09-04 20:00:00+00:00,81.23,82.65,81.21,82.3,1567627200,76.12,6263.46,2019
2019-09-04 19:00:00+00:00,82.3,82.82,82.2,82.24,1567623600,50.92,4218.23,2019
