dt,close,high,low,open,time,volumefrom,volumeto,year
2019-09-07 00:00:00+00:00,3.206,3.223,3.206,3.22,1567814400,20007.73,64290.19,2019
2019-09-06 23:00:00+00:00,3.22,3.225,3.198,3.201,1567810800,37272.78,119627.91,2019
2019-09-06 22:00:00+00:00,3.201,3.216,3.201,3.213,1567807200,19497.91,62637.86,2019
2019-09-06 21:00:00+00:00,3.213,3.215,3.18,3.188,1567803600,81435.3,260350.43,2019
2019-09-06 20:00:00+00:00,3.188,3.244,3.117,3.244,1567800000,479748.77,1518719.38,2019
2019-09-06 19:00:00+00:00,3.244,3.25,3.222,3.239,1567796400,51242.28,165895.42,2019
2019-09-06 18:00:00+00:00,3.239,3.267,3.234,3.267,1567792800,59468.02,193083.42,2019
2019-09-06 17:00:00+00:00,3.267,3.329,3.234,3.327,1567789200,213376.66,697164.42,2019
2019-09-06 16:00:00+00:00,3.327,3.336,3.318,3.336,1567785600,16432.1,54671.95,2019
2019-09-06 15:00:00+00:00,3.336,3.346,3.329,3.33,1567782000,15639.45,52237.79,2019
2019-09-06 14:00:00+00:00,3.33,3.349,3.33,3.331,1567778400,32509.54,108604.38,2019
2019-09-06 13:00:00+00:00,3.331,3.332,3.321,3.322,1567774800,25217.11,83926.14,2019
2019-09-06 12:00:00+00:00,3.322,3.344,3.319,3.331,1567771200,29482.34,98478.83,2019
2019-09-06 11:00:00+00:00,3.331,3.369,3.323,3.325,1567767600,112455.82,377029.39,2019
2019-09-06 10:00:00+00:00,3.325,3.343,3.296,3.299,1567764000,43207.73,143751.45,2019
2019-09-06 09:00:00+00:00,3.299,3.299,3.283,3.287,1567760400,15738.44,51778.11,2019
2019-09-06 08:00:00+00:00,3.287,3.311,3.285,3.3,1567756800,81183.52,267501.22,2019
2019-09-06 07:00:00+00:00,3.3,3.303,3.29,3.292,1567753200,20312.49,66891.2,2019
2019-09-06 06:00:00+00:00,3.292,3.306,3.292,3.296,1567749600,29290.39,96620.91,2019
2019-09-06 05:00:00+00:00,3.296,3.316,3.295,3.306,1567746000,42367.05,140032.76,2019
2019-09-06 04:00:00+00:00,3.306,3.31,3.287,3.289,1567742400,58495.4,192937.44,2019
2019-09-06 03:00:00+00:00,3.289,3.297,3.281,3.285,1567738800,40764.39,134029.96,2019
2019-09-06 02:00:00+00:00,3.285,3.293,3.27,3.271,1567735200,37743.19,124024.26,2019
2019-09-06 01:00:00+00:00,3.271,3.281,3.254,3.264,1567731600,35107.15,114637.34,2019
2019-09-06 00:00:00+00:00,3.264,3.28,3.257,3.272,1567728000,19687.71,64401.6,2019
2019-09-05 23:00:00+00:00,3.272,3.322,3.255,3.255,1567724400,225499.18,743050.93,2019
2019-09-05 22:00:00+00:00,3.255,3.26,3.232,3.232,1567720800,35740.51,116240.72,2019
2019-09-05 21:00:00+00:00,3.232,3.235,3.214,3.214,1567717200,21067.96,67961.25,2019
2019-09-05 20:00:00+00:00,3.214,3.223,3.211,3.218,1567713600,26289.76,84513.44,2019
2019-09-05 19:00:00+00:00,3.218,3.233,3.212,3.223,1567710000,45698.06,147232.39,2019
2019-09-05 18:00:00+00:00,3.223,3.228,3.208,3.209,1567706400,35171.18,113191.84,2019
2019-09-05 17:00:00+00:00,3.209,3.236,3.209,3.236,1567702800,40798.13,131509.06,2019
